source,id,kp,dir,t_ms,theta,v
test kp20.txt,1,-20.0,-1,408.000,-0.0999,0.279
test kp20.txt,1,-20.0,-1,409.000,-0.1006,-0.272
test kp20.txt,1,-20.0,-1,410.000,-0.0999,0.279
test kp20.txt,1,-20.0,-1,411.000,-0.1174,-0.607
test kp20.txt,1,-20.0,-1,412.000,-0.097,0.337
test kp20.txt,1,-20.0,-1,413.000,-0.0999,0.279
test kp20.txt,1,-20.0,-1,414.000,-0.0988,0.301
test kp20.txt,1,-20.0,-1,415.000,-0.0992,0.293
test kp20.txt,1,-20.0,-1,416.000,-0.0992,0.293
test kp20.txt,1,-20.0,-1,417.000,-0.0974,0.33
test kp20.txt,1,-20.0,-1,418.000,-0.1006,-0.272
test kp20.txt,1,-20.0,-1,419.000,-0.0988,0.301
test kp20.txt,1,-20.0,-1,420.000,-0.0999,0.279
test kp20.txt,1,-20.0,-1,421.000,-0.1006,-0.272
test kp20.txt,1,-20.0,-1,422.000,-0.1003,-0.265
test kp20.txt,1,-20.0,-1,423.000,-0.1006,-0.272
test kp20.txt,1,-20.0,-1,424.000,-0.1021,-0.301
test kp20.txt,1,-20.0,-1,425.000,-0.1021,-0.301
test kp20.txt,1,-20.0,-1,426.000,-0.1014,-0.287
test kp20.txt,1,-20.0,-1,427.000,-0.0999,0.279
